,0,1
219,219,Victoria University of Wellington
220,220,Sciences Po
221,221,King Saud University
222,222,National Cheng Kung University (NCKU)
223,223,Universität Hamburg
224,224,Technion - Israel Institute of Technology
225,224,"The University of Newcastle, Australia (UON)"
226,224,Queen's University at Kingston
227,227,Georgetown University
228,228,University of Sussex
229,229,Universiti Putra Malaysia (UPM)
230,230,Universiti Kebangsaan Malaysia (UKM)
231,230,The University of Arizona
232,232,University of Wollongong
233,233,University Complutense Madrid
234,234,Loughborough University
235,235,American University of Beirut (AUB)
236,236,Université Grenoble-Alpes
237,236,Al-Farabi Kazakh National University
238,238,University of Leicester
239,239,Rheinische Friedrich-Wilhelms-Universität Bonn
240,240,Macquarie University
241,240,Saint Petersburg State University
242,242,Université Paris-Sud
243,243,National University of Ireland Galway
244,243,Tufts University
245,245,Chulalongkorn University
246,245,Simon Fraser University
247,247,Queensland University of Technology (QUT)
248,247,RMIT University
249,249,University of Massachusetts Amherst
250,250,Novosibirsk State University
251,250,University of Tsukuba
252,252,University of Miami
253,253,Universiti Teknologi Malaysia
254,254,Universidad Nacional de Colombia
255,254,Universität Frankfurt am Main
256,256,Beijing Normal University
257,256,Kyung Hee University
258,256,Universidad de los Andes
259,259,Universität Stuttgart
260,259,Norwegian University of Science And Technology
261,259,Royal Holloway University of London
262,262,Curtin University
263,263,North Carolina State University
264,264,Indian Institute of Technology Madras (IITM)
265,264,National Taiwan University of Science and Technology (Taiwan Tech)
266,264,Universiti Sains Malaysia (USM)
267,267,University of Dundee
268,267,King Abdulaziz University (KAU)
269,269,Université Paris 1 Panthéon-Sorbonne
270,270,Ecole des Ponts ParisTech
271,270,University of Navarra
272,272,Technische Universität Darmstadt
273,272,University of Surrey
274,274,University of East Anglia (UEA)
275,275,Universitat Politècnica de Catalunya
276,276,University of Turku
277,277,Universitas Indonesia
278,277,University of Strathclyde
279,279,Dalhousie University
280,279,University of South Australia
281,281,Universidad Carlos III de Madrid (UC3M)
282,282,Wuhan University
283,283,University College Cork
284,283,University of Gothenburg
285,283,Rutgers University - New Brunswick
286,286,Universität Innsbruck
287,287,Linköping University
288,287,Friedrich-Alexander-Universität Erlangen-Nürnberg
289,289,National Taiwan Normal University
290,289,University of Ottawa
291,291,Bauman Moscow State Technical University
292,292,University of Waikato
293,293,Deakin University
294,293,Indian Institute of Technology Kanpur (IITK)
295,293,Université Paris-Sorbonne (Paris IV)
296,296,SOAS University of London
297,296,Università di Padova
298,296,Universitat Pompeu Fabra
299,299,Hong Kong Baptist University
300,299,Ewha Womans University
301,301,"University of California, Santa Cruz"
302,301,University of Porto
303,303,Université de Strasbourg
304,304,Indiana University Bloomington
305,305,Université Paris Diderot - Paris 7
306,305,University of Lisbon
307,307,Politecnico di Torino
308,308,"Birkbeck, University of London"
309,308,Indian Institute of Technology Kharagpur (IIT-KGP)
310,308,Westfälische Wilhelms-Universität Münster
311,311,Universidade Federal do Rio de Janeiro
312,312,Heriot-Watt University
313,313,University of Tasmania
314,314,Charles University
315,314,University of Tartu
316,316,Massey University
317,316,Tongji University
318,318,University at Buffalo SUNY
319,319,Lincoln University
320,319,Sun Yat-sen University
321,319,Université de Liège
322,322,Hiroshima University
323,323,"University of California, Riverside"
324,323,Tomsk State University
325,325,Griffith University
326,325,Harbin Institute of Technology
327,325,University of Milan
328,325,The Katz School at Yeshiva University
329,329,National Yang Ming University
330,330,Ecole Normale Supérieure de Cachan
331,331,Bandung Institute of Technology (ITB)
332,331,Universidad Austral
333,331,University of Cologne
334,334,Belarusian State University
335,334,Mahidol University
336,336,L.N. Gumilyov Eurasian National University (ENU)
337,337,Universidad de Belgrano
338,338,Umea University
339,339,Boston College
340,339,Gwangju Institute of Science and Technology (GIST)
341,341,Universität Jena
342,341,University of Hawai'i at Mañoa
343,343,"City, University of London"
344,344,Nankai University
345,344,Xi’an Jiaotong University
346,346,Northeastern University
347,346,University of Victoria
348,346,Brunel University London
349,349,Qatar University
350,349,Universiti Brunei Darussalam (UBD)
351,351,Kobe University
352,352,Ben Gurion University of The Negev
353,352,George Washington University
354,352,University of Essex
355,355,
356,355,Université Paris Dauphine
357,357,Tilburg University
358,357,University Ulm
359,357,University of Jyväskylä
360,360,La Trobe University
361,361,Universidade Nova de Lisboa
362,361,Oxford Brookes University
363,361,Stellenbosch University
364,364,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA)
365,364,Rensselaer Polytechnic Institute
366,364,University of the Witwatersrand
367,367,Virginia Polytechnic Institute and State University
368,367,James Cook University
369,367,Tokyo Medical and Dental University (TMDU)
370,367,University of the Philippines
371,367,University of Tromsø The Arctic University of Norway
372,372,University of St.Gallen (HSG)
373,373,Aston University
374,373,Moscow State Institute of International Relations (MGIMO University)
375,373,
376,373,Universitat Politècnica de València
377,373,University of Kent
378,378,Laval University
379,379,Aalborg University
380,380,Tampere University of Technology
381,381,Université de Montpellier
382,382,"National Research University Higher School of Economics (HSE, Moscow)"
383,382,"Stony Brook University, State University of New York"
384,384,University of Southern Denmark
385,385,Universität Konstanz
386,386,University of Kansas
